SEASON_ID,PTS,REB,AST,Player_Name,MIN
22020,10,11,2,Jarrett Allen,32
22020,17,14,1,Jarrett Allen,35
22020,15,8,2,Jarrett Allen,30
22020,13,11,5,Jarrett Allen,36
22020,19,9,1,Jarrett Allen,35
22020,11,9,0,Jarrett Allen,27
22020,17,15,1,Jarrett Allen,34
22020,15,11,2,Jarrett Allen,32
22020,7,7,1,Jarrett Allen,33
22020,8,10,2,Jarrett Allen,27
22020,9,11,0,Jarrett Allen,28
22020,5,7,2,Jarrett Allen,33
22020,17,11,1,Jarrett Allen,29
22020,10,15,1,Jarrett Allen,31
22020,14,9,3,Jarrett Allen,37
22020,26,18,2,Jarrett Allen,37
22020,13,14,2,Jarrett Allen,34
22020,26,17,2,Jarrett Allen,42
22020,20,10,4,Jarrett Allen,34
22020,13,14,1,Jarrett Allen,29
22020,15,10,3,Jarrett Allen,28
22020,22,6,2,Jarrett Allen,24
22020,18,10,2,Jarrett Allen,26
22020,14,5,1,Jarrett Allen,34
22020,2,7,0,Jarrett Allen,25
22020,13,4,3,Jarrett Allen,21
22020,7,9,5,Jarrett Allen,26
22020,23,18,1,Jarrett Allen,35
22020,10,5,0,Jarrett Allen,15
22020,15,9,3,Jarrett Allen,26
22020,10,1,0,Jarrett Allen,20
22020,6,5,0,Jarrett Allen,29
22020,12,7,2,Jarrett Allen,26
22020,19,6,0,Jarrett Allen,19
22020,12,11,2,Jarrett Allen,31
22020,6,5,3,Jarrett Allen,36
22020,15,10,1,Jarrett Allen,33
22020,12,6,6,Jarrett Allen,30
22020,15,11,3,Jarrett Allen,28
22020,19,18,1,Jarrett Allen,32
22020,14,11,0,Jarrett Allen,25
22020,5,4,0,Jarrett Allen,22
22020,15,13,1,Jarrett Allen,24
22020,8,15,1,Jarrett Allen,22
22020,8,14,1,Jarrett Allen,25
22020,9,11,1,Jarrett Allen,21
22020,8,7,2,Jarrett Allen,20
22020,2,5,0,Al-Farouq Aminu,16
22020,0,3,0,Al-Farouq Aminu,12
22020,5,2,1,Al-Farouq Aminu,15
22020,0,3,1,Al-Farouq Aminu,7
22020,2,5,0,Al-Farouq Aminu,12
22020,6,10,1,Al-Farouq Aminu,28
22020,17,10,6,Al-Farouq Aminu,29
22020,5,5,2,Al-Farouq Aminu,28
22020,5,7,3,Al-Farouq Aminu,23
22020,7,6,0,Al-Farouq Aminu,24
22020,2,5,1,Al-Farouq Aminu,26
22020,4,8,0,Al-Farouq Aminu,24
22020,0,3,1,Al-Farouq Aminu,21
22020,14,8,2,Al-Farouq Aminu,25
22020,7,2,2,Al-Farouq Aminu,23
22020,7,6,0,Al-Farouq Aminu,22
22020,2,3,4,Al-Farouq Aminu,23
22020,3,4,1,Al-Farouq Aminu,22
22020,3,6,2,Al-Farouq Aminu,19
22020,8,4,2,Al-Farouq Aminu,13
22020,3,3,1,Al-Farouq Aminu,12
22020,0,1,1,Al-Farouq Aminu,5
22020,10,5,4,Kyle Anderson,29
22020,14,5,9,Kyle Anderson,31
22020,15,4,2,Kyle Anderson,25
22020,14,4,4,Kyle Anderson,29
22020,16,5,5,Kyle Anderson,31
22020,7,2,5,Kyle Anderson,24
22020,20,4,2,Kyle Anderson,31
22020,13,6,7,Kyle Anderson,32
22020,21,4,2,Kyle Anderson,28
22020,13,6,2,Kyle Anderson,28
22020,6,4,3,Kyle Anderson,21
22020,6,7,1,Kyle Anderson,19
22020,16,6,2,Kyle Anderson,26
22020,14,8,1,Kyle Anderson,25
22020,12,3,1,Kyle Anderson,24
22020,11,6,6,Kyle Anderson,39
22020,8,8,8,Kyle Anderson,34
22020,6,11,7,Kyle Anderson,25
22020,7,5,3,Kyle Anderson,25
22020,5,5,6,Kyle Anderson,29
22020,15,5,2,Kyle Anderson,28
22020,15,6,5,Kyle Anderson,34
22020,16,9,6,Kyle Anderson,29
22020,19,8,6,Kyle Anderson,30
22020,10,6,2,Kyle Anderson,25
22020,7,8,7,Kyle Anderson,20
22020,18,11,1,Kyle Anderson,31
22020,7,2,2,Kyle Anderson,23
22020,16,2,4,Kyle Anderson,22
22020,5,5,6,Kyle Anderson,33
22020,6,5,1,Kyle Anderson,23
22020,14,5,7,Kyle Anderson,34
22020,13,8,4,Kyle Anderson,30
22020,7,3,3,Kyle Anderson,21
22020,13,5,0,Kyle Anderson,31
22020,9,4,3,Kyle Anderson,28
22020,13,3,3,Kyle Anderson,24
22020,2,5,0,Kyle Anderson,18
22020,13,5,3,Kyle Anderson,23
22020,9,2,2,Kyle Anderson,26
22020,13,5,0,Kyle Anderson,23
22020,12,9,4,Kyle Anderson,32
22020,13,7,6,Kyle Anderson,24
22020,9,4,0,Kyle Anderson,25
22020,16,6,1,Kyle Anderson,25
22020,20,5,5,Kyle Anderson,26
22020,19,6,3,Kyle Anderson,26
22020,17,6,4,Kyle Anderson,29
22020,6,6,5,Kyle Anderson,30
22020,27,2,3,Kyle Anderson,24
22020,15,4,4,Kyle Anderson,32
22020,21,4,4,Kyle Anderson,30
22020,3,5,5,Kyle Anderson,23
22020,6,5,2,Kyle Anderson,21
22020,17,8,3,Kyle Anderson,26
22020,16,5,1,Kyle Anderson,21
22020,10,8,2,Kyle Anderson,28
22020,11,6,5,Kyle Anderson,30
22020,7,7,5,Kyle Anderson,24
22020,8,6,9,Kyle Anderson,31
22020,7,4,6,Kyle Anderson,26
22020,10,8,2,Kyle Anderson,28
22020,10,5,2,Kyle Anderson,29
